Case_ID;LLM;Q_ID;IF;F;EAR;N;S;Unnamed: 8
1.0;Gemma;D1;5.0;5.0;5.0;5.0;5.0;
1.0;Gemma;D2;3.0;4.0;2.0;4.0;3.0;
1.0;Gemma;D3;5.0;5.0;2.0;5.0;5.0;
1.0;Gemma;D4;4.0;5.0;5.0;5.0;5.0;
2.0;Gemma;D1;4.0;5.0;3.0;5.0;4.0;
2.0;Gemma;D2;5.0;5.0;3.0;5.0;5.0;
2.0;Gemma;D3;5.0;5.0;3.0;5.0;5.0;
2.0;Gemma;D4;5.0;1.0;5.0;5.0;1.0;
3.0;Gemma;D1;5.0;4.0;5.0;4.0;5.0;
3.0;Gemma;D2;5.0;4.0;4.0;5.0;5.0;
3.0;Gemma;D3;5.0;5.0;5.0;5.0;5.0;
3.0;Gemma;D4;5.0;3.0;5.0;5.0;5.0;
4.0;Gemma;D1;4.0;5.0;2.0;5.0;4.0;
4.0;Gemma;D2;3.0;4.0;1.0;5.0;4.0;
4.0;Gemma;D3;5.0;4.0;1.0;4.0;5.0;
4.0;Gemma;D4;5.0;3.0;5.0;5.0;5.0;
5.0;Gemma;D1;5.0;5.0;5.0;5.0;5.0;
5.0;Gemma;D2;3.0;3.0;4.0;4.0;5.0;
5.0;Gemma;D3;5.0;4.0;3.0;5.0;5.0;
5.0;Gemma;D4;5.0;5.0;4.0;5.0;5.0;
6.0;Gemma;D1;5.0;4.0;5.0;5.0;5.0;
6.0;Gemma;D2;5.0;4.0;4.0;4.0;4.0;
6.0;Gemma;D3;4.0;4.0;3.0;4.0;5.0;
6.0;Gemma;D4;5.0;4.0;5.0;5.0;5.0;
7.0;Gemma;D1;5.0;4.0;5.0;5.0;5.0;
7.0;Gemma;D2;5.0;4.0;5.0;5.0;5.0;
7.0;Gemma;D3;5.0;5.0;5.0;5.0;5.0;
7.0;Gemma;D4;5.0;4.0;5.0;5.0;5.0;
8.0;Gemma;D1;4.0;5.0;5.0;4.0;5.0;
8.0;Gemma;D2;2.0;4.0;5.0;3.0;2.0;
8.0;Gemma;D3;5.0;5.0;5.0;4.0;5.0;
8.0;Gemma;D4;5.0;5.0;3.0;4.0;5.0;
9.0;Gemma;D1;5.0;5.0;5.0;5.0;5.0;
9.0;Gemma;D2;5.0;5.0;5.0;4.0;5.0;
9.0;Gemma;D3;5.0;5.0;4.0;5.0;5.0;
9.0;Gemma;D4;5.0;5.0;4.0;5.0;5.0;
10.0;Gemma;D1;5.0;4.0;3.0;5.0;4.0;
10.0;Gemma;D2;5.0;5.0;3.0;5.0;4.0;
10.0;Gemma;D3;4.0;5.0;3.0;4.0;4.0;
10.0;Gemma;D4;4.0;5.0;3.0;4.0;4.0;
11.0;Gemma;D1;5.0;4.0;2.0;5.0;5.0;
11.0;Gemma;D2;5.0;5.0;2.0;4.0;5.0;
11.0;Gemma;D3;5.0;5.0;2.0;5.0;4.0;
11.0;Gemma;D4;5.0;4.0;2.0;5.0;5.0;
12.0;Gemma;D1;4.0;5.0;5.0;5.0;5.0;
12.0;Gemma;D2;2.0;4.0;5.0;3.0;1.0;
12.0;Gemma;D3;5.0;5.0;3.0;5.0;5.0;
12.0;Gemma;D4;5.0;5.0;5.0;5.0;4.0;
13.0;Gemma;D1;5.0;5.0;2.0;5.0;5.0;
13.0;Gemma;D2;5.0;5.0;2.0;5.0;5.0;
13.0;Gemma;D3;4.0;5.0;2.0;4.0;5.0;
13.0;Gemma;D4;2.0;4.0;5.0;3.0;3.0;
14.0;Gemma;D1;5.0;4.0;5.0;5.0;5.0;
14.0;Gemma;D2;5.0;5.0;5.0;5.0;5.0;
14.0;Gemma;D3;5.0;5.0;4.0;5.0;5.0;
14.0;Gemma;D4;5.0;5.0;5.0;5.0;5.0;
15.0;Gemma;D1;5.0;4.0;2.0;5.0;5.0;
15.0;Gemma;D2;5.0;5.0;2.0;5.0;5.0;
15.0;Gemma;D3;4.0;4.0;2.0;3.0;4.0;
15.0;Gemma;D4;5.0;4.0;4.0;5.0;4.0;
